center_count,sigma,lambda,cv_mse,train_mse,test_mse
30.0,2.0,0.0001,0.8985680933991919,0.49207128711572407,0.4893889343133385
25.0,1.0,1e-06,0.8995927068728811,0.17979508432236208,0.264428542009793
15.0,1.0,1e-06,0.9062494758528172,0.19918722266463845,0.2713661433220006
20.0,1.0,1e-06,0.9116722335390021,0.18170937558869757,0.26414824671876885
30.0,0.2,1e-06,0.9326379512096133,0.1462875105462306,0.2504427904959822
12.0,2.0,1e-06,0.9487364802164615,0.4401902047159099,0.44099934003673186
8.0,1.5,0.0001,0.9564947400828716,0.46396364339199453,0.4704377780105334
8.0,1.5,1e-06,0.9712471085766999,0.463958798111274,0.4706106337975532
20.0,0.1,0.0001,1.0036369131980527,0.3964240401799322,0.3835588781852278
10.0,2.0,1e-06,1.0141928071771926,0.4673596320517908,0.4668118036173381
8.0,2.0,1e-06,1.0578544328053128,0.4920485970621661,0.49118952536339444
30.0,0.1,0.0001,1.0857855291627614,0.16339662709116062,0.3007278609116324
25.0,0.5,1e-06,1.1844818700121815,0.16067580430710687,0.25492129882687126
25.0,0.2,0.0001,1.2584989765735966,0.15444080805073399,0.2632919004219394
25.0,0.2,1e-06,1.298589365269231,0.1544362500626946,0.2635318510792219
30.0,0.5,1e-06,1.347013283532702,0.15736575007246445,0.25106695486339414
12.0,0.1,0.0001,1.375789779334256,0.4087005697838424,0.48477922097968945
30.0,0.1,1e-06,1.5573444247491337,0.16339662353042136,0.3007402431736137
20.0,0.2,0.0001,1.8427260898634212,0.20011288649672576,0.257793797840401
20.0,0.2,1e-06,1.8753170678838669,0.20011288011429773,0.25780106433082334
15.0,0.1,0.0001,2.5740693317981984,0.4245160680952688,0.5219901937730775
12.0,0.1,1e-06,7.1771956861350805,0.40870056871554006,0.4847846057636575
5.0,0.1,1e-06,12.829490048577592,0.6535601707484797,0.62266877140307
8.0,0.1,1e-06,15.682772878542007,0.49924496766898385,0.5861908707136277
10.0,0.1,1e-06,16.41925971831229,0.5454046014482598,0.5046563492761309
15.0,0.1,1e-06,31.211757261144566,0.424516067075082,0.5219965679666064
25.0,0.1,1e-06,47.471462946355814,0.2418987641232862,0.34349217964477086
20.0,0.1,1e-06,178.30485435487182,0.3964240390701056,0.3835591771634232
